2,Andrea Cruz,12,12
3,Rachel Meyer,73,73
4,Michelle Simpson,7,5.64
6,Phyllis Chapman,9,6.37
10,Deborah Black,2,2
11,Irene Adams,17,4.28
16,Donna Webb,8,4.69
17,Lisa Little,6,6
18,Nicole Nelson,2,0.58
19,Laura Harrison,7,7
20,Denise Woods,9,9
26,Marilyn Ross,3,1.25
28,Helen Thompson,16,5.25
29,Shirley Thompson,5,5
32,Doris Castillo,84,84
33,Heather Cox,11,11
34,Heather Sanchez,8,8
37,Andrea Morgan,10,10
41,Helen Hunter,5,5
44,Kathy Tucker,5,5
45,Barbara Hayes,2,2
47,Anna Jacobs,7,7
48,Joyce Olson,10,0.13
69,Marilyn Robertson,50,50
72,Patricia Austin,2,2
75,Ruby Robinson,4,4
76,Nancy Hunt,7,7
77,Debra Graham,5,0.72
87,Catherine Nguyen,7,7
89,Sara Rose,8,8
91,Rose Morris,9,9
93,Rebecca Cooper,10,10
95,Donna Jordan,19,19
101,Kathy Dunn,11,11
106,Bonnie Smith,7,7
109,Paula Perry,10,10
112,Emily Butler,10,9.72
113,Maria Reyes,2,2
124,Melissa Gray,3,3
125,Dorothy Perez,16,16
126,Kimberly Barnes,2,0.73
128,Shirley Rogers,2,2
130,Joan Mills,11,11
131,Julie Hughes,66,66
144,Marilyn Cook,10,10
146,Patricia Stone,9,1.6
148,Margaret Stanley,2,2
149,Sara Dean,14,10.17
151,Tina Murphy,7,3.41
152,Julia Morgan,4,4
153,Debra Barnes,10,10
155,Irene Henderson,5,5
158,Rose Hayes,8,8
159,Maria Alvarez,7,0.11
162,Jean Ford,7,7
165,Robin Lane,3,3
170,Evelyn Gardner,10,2.49
171,Jacqueline Jackson,11,1.59
173,Marie Mendoza,8,8
174,Paula Kim,5,5
176,Michelle George,97,97
180,Laura Diaz,8,8
183,Janet Scott,2,2
184,Phyllis Rodriguez,4,4
185,Paula Stewart,7,7
188,Linda Williams,61,61
194,Anna Stewart,1,0.48
197,Doris Henderson,2,2
203,Nancy Ramos,11,11
205,Stephanie Bowman,5,5
210,Lori Bennett,7,7
212,Sharon Crawford,46,46
216,Anne Lawson,23,23
219,Emily Payne,3,3
220,Marie Stone,110,110
223,Alice Payne,24,1.89
227,Marie Peterson,6,3.44
239,Irene Fuller,8,1.92
240,Jean Phillips,33,33
246,Maria Lynch,96,96
247,Cynthia James,2,0.13
249,Susan Pierce,1,1
253,Brenda Wright,122,122
259,Joyce Gutierrez,5,5
260,Diana Ross,4,4
272,Kathryn Ellis,4,4
273,Beverly Kennedy,102,102
278,Margaret Lawson,17,17
281,Theresa Evans,2,2
283,Melissa Williamson,3,3
284,Christine Mitchell,55,50.26
286,Martha Gonzalez,10,8.74
